Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
Atul Ltd.,500027,ATUL,INE100A01010,Chemicals,Dyes & Pigments,2022-09-05,"9,195.55",-0.28,"7,750.00","10,975.40","2,923.20","10,975.40","2,134.00","10,975.40",9.25,"10,975.40","27,139.52","26,715.12",1.15,-2.04,14.73,-0.25,38.72,32.60,40.83,44.97,29.79,6.00,4.44,3.35,3.37,0.27,26.97,4.95,117.26,204.26,"1,531.96",78.22,-108.89,25.00,0.16
Mahanagar Gas Ltd.,539957,MGL,INE002S01010,Energy,Natural Gas Utilities,2022-09-05,873.75,0.19,665.80,"1,206.30",663.90,"1,284.45",663.90,"1,377.50",492.65,"1,377.50","8,623.79","7,049.59",2.23,11.97,14.65,-25.54,1.46,-3.74,,14.92,15.43,2.28,3.56,12.38,2.35,2.86,7.10,1.79,9.54,58.52,382.93,91.49,31.33,25.00,0.28
Cyient Ltd.,532175,CYIENT,INE136B01020,Technology,Software,2022-09-05,835.20,0.08,720.00,"1,292.00",184.00,"1,292.00",184.00,"1,292.00",4.44,"1,292.00","9,223.10","8,171.99",-2.09,1.45,4.88,-15.65,24.79,9.43,16.60,17.62,17.38,2.87,2.76,10.62,1.97,2.87,8.65,1.95,14.54,47.38,290.52,57.47,50.05,24.00,0.35
ICICI Securities Ltd.,541179,ISEC,INE763G01020,Financial,Brokerage Services,2022-09-05,499.30,-0.03,408.40,896.05,203.60,896.05,,,188.00,896.05,"16,094.55","18,271.56",-0.33,0.32,8.43,-35.34,32.63,,,11.96,19.40,6.01,9.98,12.09,0.29,4.81,8.31,4.62,-6.20,41.68,82.93,-80.50,-90.62,24.00,0.44
Supreme Industries Ltd.,509930,SUPREMEIND,INE195A01028,Materials,Plastic Tubes & Pipes,2022-09-05,"2,060.70",3.96,"1,666.25","2,693.90",773.30,"2,693.90",773.30,"2,693.90",3.36,"2,693.90","26,176.43","24,653.50",7.07,8.86,10.82,-4.36,23.48,11.87,22.08,25.85,30.31,6.54,7.27,4.27,1.45,1.17,18.83,3.03,55.64,79.68,314.91,37.03,2.34,24.00,0.24
Larsen & Toubro Ltd.,500510,LT,INE018A01030,Construction,Infrastructure,2022-09-05,"1,968.35",1.44,"1,456.35","2,078.55",661.00,"2,078.55",661.00,"2,078.55",16.67,"2,078.55","276,590.81","347,336.67",3.30,10.58,19.15,16.37,14.59,11.73,12.48,30.07,21.86,3.28,3.03,7.48,3.26,1.12,12.79,1.70,14.43,65.45,600.13,136.39,105.94,22.00,0.05
Eicher Motors Ltd.,505200,EICHERMOT,INE066A01021,Automobile,Two & Three Wheelers,2022-09-05,"3,400.50",-0.63,"2,159.55","3,513.70","1,245.01","3,513.70","1,245.01","3,513.70",1.50,"3,513.70","92,988.62","90,481.39",1.35,8.10,26.64,21.33,29.54,1.38,32.24,45.34,40.30,7.07,6.41,3.25,13.12,0.62,30.08,8.08,60.89,74.97,480.66,55.85,46.72,21.00,0.03
Sonata Software Ltd.,532221,SONATSOFTW,INE269A01021,Technology,Software,2022-09-05,716.05,-0.56,610.10,"1,030.00",147.25,"1,030.00",144.70,"1,030.00",5.75,"1,030.00","7,540.45","6,701.92",1.31,0.55,2.75,-16.33,32.96,35.25,43.68,18.97,16.88,6.26,5.05,9.57,0.94,2.93,11.24,1.24,16.74,37.80,114.53,43.34,45.86,21.00,0.30
UTI Asset Management Company Ltd.,543238,UTIAMC,INE094J01016,Financial,Asset Management Companies,2022-09-05,839.95,-1.44,595.00,"1,216.20",,,,,471.10,"1,216.55","10,655.20","10,396.52",1.58,15.62,24.26,-28.50,,,,22.50,20.05,2.93,3.27,6.27,-1.68,2.50,16.67,84.34,30.53,37.31,286.89,27.49,37.75,21.00,0.31
Tata Communications Ltd.,500483,TATACOMM,INE151A01013,Communication,Telecom Services,2022-09-05,"1,264.50",1.53,856.25,"1,591.95",200.00,"1,591.95",200.00,"1,591.95",68.00,"1,591.95","36,038.25","42,214.50",8.26,20.31,32.37,-7.56,43.72,14.09,18.80,20.84,43.41,24.64,28.57,7.52,2.99,1.64,8.67,2.13,8.57,60.68,51.32,147.50,56.87,20.70,0.21
Bajaj Finance Ltd.,500034,BAJFINANCE,INE296A01024,Financial,Hire Purchase,2022-09-05,"7,196.20",0.08,"5,220.00","8,050.00","1,783.00","8,050.00","1,511.20","8,050.00",2.13,"8,050.00","435,678.98","595,322.42",1.90,-1.65,19.38,-4.35,30.34,31.92,53.00,50.53,50.15,9.49,8.59,3.73,1.64,0.28,26.83,13.20,-11.77,142.41,758.33,-613.77,"-4,478.16",20.00,0.11
Muthoot Finance Ltd.,533398,MUTHOOTFIN,INE414G01012,Financial,Misc. Fin.services,2022-09-05,"1,030.60",0.06,960.40,"1,722.55",476.80,"1,722.55",356.00,"1,722.55",72.60,"1,722.55","41,394.20","85,524.07",-1.61,-6.42,-6.80,-31.61,20.51,17.36,23.00,10.73,12.53,2.20,2.72,11.18,0.39,1.94,9.00,3.48,-25.93,96.12,468.44,-39.78,-53.08,20.00,0.40
