Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
Siemens Ltd.,500550,SIEMENS,INE003A01024,Capital Goods,Switching Equipment,2022-09-05,"2,935.40",0.74,"2,021.00","2,975.00",947.00,"2,975.00",841.00,"2,975.00",16.99,"2,975.00","104,535.54","98,556.12",0.53,10.83,24.98,29.46,35.97,18.06,15.92,86.11,48.51,9.56,5.62,1.94,-4.83,0.27,49.87,6.61,73.51,34.06,306.92,39.95,42.33,8.00,0.01
TCI Express Ltd.,540212,TCIEXP,INE586V01016,Services,Courier Services,2022-09-05,"1,781.20",-0.89,"1,436.40","2,572.00",455.80,"2,572.00",425.00,"2,572.00",265.15,"2,572.00","6,869.02","6,819.30",-0.13,4.57,6.23,22.26,41.51,27.76,,50.47,40.59,12.17,10.11,2.83,1.93,0.45,35.17,5.98,53.85,35.34,146.56,33.13,12.40,8.00,0.31
Chambal Fertilisers & Chemicals Ltd.,500085,CHAMBLFERT,INE085A01013,Chemicals,Nitrogenous Fertilizer.,2022-09-05,345.65,-0.04,260.80,516.00,93.80,516.00,93.80,516.00,8.50,516.00,"14,386.22","18,146.85",-0.72,7.95,-1.76,9.40,29.87,18.22,17.54,9.45,9.19,2.15,2.20,11.69,0.33,2.17,7.72,0.73,-593.74,36.67,161.25,-0.58,-16.73,7.50,0.33
Havells India Ltd.,517354,HAVELLS,INE176B01034,Capital Goods,Switching Equipment,2022-09-05,"1,379.80",-0.18,"1,040.00","1,504.45",447.05,"1,504.45",447.05,"1,504.45",0.47,"1,504.45","86,445.58","84,266.30",4.24,5.34,19.34,-3.54,29.46,22.86,28.64,71.95,58.98,13.87,10.94,2.19,3.76,0.54,43.43,5.55,50.03,19.22,99.69,27.59,24.31,7.50,0.08
Solar Industries India Ltd.,532725,SOLARINDS,INE343H01029,Chemicals,Explosives,2022-09-05,"3,494.55",4.81,"1,700.70","3,588.50",772.05,"3,588.50",772.05,"3,588.50",18.30,"3,588.50","31,807.25","30,931.31",4.44,16.99,24.68,97.61,48.25,31.60,33.41,61.88,43.75,15.17,8.51,2.44,2.90,0.21,35.03,6.71,106.81,56.80,231.73,32.91,-3.87,7.50,0.03
Titan Company Ltd.,500114,TITAN,INE280A01028,Consumer Discretionary,"Gems, Jewellery & Accessories",2022-09-05,"2,627.35",0.56,"1,825.05","2,768.00",720.00,"2,768.00",563.60,"2,768.00",1.17,"2,768.00","233,252.50","236,217.74",3.73,8.40,19.19,30.11,36.32,33.82,27.82,79.30,78.43,23.10,17.32,1.88,2.69,0.29,51.00,6.99,-322.17,33.09,113.62,-8.13,-9.52,7.50,0.05
Mazagon Dock Shipbuilders Ltd.,543237,MAZDOCK,INE249Z01012,Capital Goods,Ship Building,2022-09-05,392.10,-1.36,225.40,417.00,,,,,164.00,417.00,"7,901.21",-9.72,10.72,43.10,37.31,53.98,,,,10.76,8.48,1.94,1.45,"-1,088.43",0.37,2.23,-0.01,1.17,115.84,36.39,202.03,3.38,20.05,7.24,0.06
State Bank Of India,500112,SBIN,INE062A01020,Financial,Banking,2022-09-05,538.90,0.41,425.00,549.05,149.45,549.05,149.45,549.05,13.20,549.05,"480,947.33","529,015.46",2.88,1.06,16.02,24.92,25.12,14.17,11.13,13.62,15.32,1.63,1.31,49.49,1.21,1.32,6.78,1.62,8.34,39.57,330.12,64.65,21.43,7.10,0.02
Bharat Forge Ltd.,500493,BHARATFORG,INE465A01025,Automobile,Auto Ancillaries,2022-09-05,767.70,0.13,595.00,848.00,207.50,848.00,207.50,848.00,20.50,848.00,"35,743.24","38,847.16",4.76,8.03,16.49,-2.98,26.17,6.41,18.72,32.72,37.35,5.31,5.04,4.18,3.36,0.91,17.81,3.19,70.66,23.47,144.59,10.86,-9.77,7.00,0.09
Deepak Nitrite Ltd.,506401,DEEPAKNTR,INE288B01029,Chemicals,Organic Chemicals,2022-09-05,"2,018.40",1.80,"1,681.15","3,020.00",267.00,"3,020.00",166.10,"3,020.00",1.70,"3,020.00","27,529.57","26,855.20",2.94,0.30,3.08,-14.06,95.13,62.65,61.56,27.55,28.38,7.70,4.45,5.20,0.45,0.35,17.30,3.75,33.42,73.22,261.97,60.40,43.49,7.00,0.33
Escorts Ltd.,500495,ESCORTS,INE042A01014,Automobile,Tractors & Farm Machinery,2022-09-05,"2,019.60",-2.67,"1,306.70","2,089.35",460.35,"2,089.35",423.30,"2,089.35",30.50,"2,089.35","26,646.72","22,517.02",9.92,23.48,25.99,52.80,63.92,25.61,41.51,38.12,24.29,3.45,3.35,5.47,0.90,0.35,20.05,3.52,825.49,52.97,586.17,2.45,4.40,7.00,0.03
Garware Technical Fibres Ltd.,509557,GARFIBRES,INE276A01018,Textiles,Misc.Textiles,2022-09-05,"3,422.60",-0.26,"2,619.80","4,033.40",872.50,"4,033.40",850.00,"4,033.40",10.00,"4,033.40","7,056.77","6,934.22",3.13,5.97,10.02,4.73,47.64,29.88,52.59,44.30,24.15,7.14,4.59,3.58,3.09,0.20,28.32,5.64,110.53,78.10,484.41,30.97,30.02,7.00,0.15
NTPC Ltd.,532555,NTPC,INE733E01010,Energy,Electricity Generation,2022-09-05,164.50,1.67,112.40,166.40,73.20,166.40,73.20,166.40,56.67,242.50,"159,461.67","361,892.27",0.67,6.33,6.13,40.60,11.26,3.25,1.48,9.69,11.12,1.16,1.06,8.91,1.01,4.26,8.15,1.09,3.82,16.97,141.70,43.10,7.42,7.00,0.01
Redington India Ltd.,532805,REDINGTON,INE891D01026,Services,Trading,2022-09-05,150.00,1.73,109.40,179.25,29.55,179.25,29.55,179.25,7.97,179.25,"11,714.16","8,504.01",-1.32,7.49,14.29,3.99,40.29,15.15,15.27,8.62,9.03,1.92,1.17,22.47,0.36,4.40,4.25,0.18,11.84,17.39,78.14,12.66,9.03,6.60,0.16
Canara Bank,532483,CANBK,INE476A01014,Financial,Banking,2022-09-05,245.30,0.62,152.05,272.80,73.65,272.80,73.65,463.70,38.91,821.12,"44,491.54","-91,877.97",2.42,9.22,16.20,52.64,8.39,-6.07,-2.38,6.29,16.68,0.70,0.58,-71.32,0.28,2.65,-3.74,0.62,48.41,38.97,351.15,5.07,-67.21,6.50,0.10
Indian Bank,532814,INDIANB,INE562A01011,Financial,Banking,2022-09-05,192.55,0.39,121.95,197.75,41.55,197.75,41.55,428.00,41.55,428.00,"24,043.24","-38,940.26",-0.41,10.03,17.23,53.49,4.94,-7.53,1.85,5.73,9.74,0.52,0.45,-75.64,0.22,3.37,-3.01,0.61,0.84,33.67,370.70,230.84,147.80,6.50,0.03
Kalpataru Power Transmission Ltd.,522287,KALPATPOWR,INE220B01022,Capital Goods,Power Projects,2022-09-05,404.05,0.80,331.80,452.65,169.50,515.50,169.50,554.50,1.43,554.50,"6,016.68","8,466.60",3.43,6.16,11.89,-1.94,-3.58,2.54,19.83,11.09,13.17,1.37,1.69,11.97,0.46,1.61,6.58,0.39,8.43,36.33,293.24,47.93,20.54,6.50,0.11
National Aluminium Company Ltd.,532234,NATIONALUM,INE139A01034,Metals & Mining,Aluminium,2022-09-05,79.40,2.98,66.95,132.75,24.40,132.75,24.40,132.75,9.13,141.61,"14,573.67","10,411.02",-2.82,1.86,-13.93,-15.44,25.16,1.49,4.70,4.61,9.90,1.11,1.04,42.73,0.13,8.19,2.03,0.94,3.68,17.22,71.50,21.55,14.00,6.50,0.40
Vinati Organics Ltd.,524200,VINATIORGA,INE410B01037,Chemicals,Organic Chemicals,2022-09-05,"2,281.90",1.89,"1,674.20","2,323.80",651.00,"2,323.80",378.00,"2,323.80",0.70,"2,323.80","23,453.84","23,056.18",2.91,3.74,8.58,22.11,28.47,35.26,46.16,64.11,38.19,12.19,9.07,2.30,3.23,0.28,43.88,13.51,185.01,35.69,187.70,12.33,0.44,6.50,0.02
Sundram Fasteners Ltd.,500403,SUNDRMFAST,INE387A01021,Capital Goods,Fasteners,2022-09-05,842.65,0.07,673.05,993.70,248.50,993.70,248.50,993.70,5.35,993.70,"17,706.47","18,295.80",-0.40,1.54,9.35,5.95,25.68,15.61,34.37,37.40,33.49,6.41,6.41,3.81,5.82,0.77,21.27,3.41,44.14,22.51,131.32,19.09,8.24,6.45,0.15
Ambuja Cements Ltd.,500425,AMBUJACEM,INE079A01024,Materials,Cement,2022-09-05,417.95,0.57,274.00,442.95,136.55,442.95,136.55,442.95,16.80,442.95,"82,990.04","70,866.14",3.75,9.63,13.91,-4.38,29.85,8.59,8.71,34.95,23.74,3.24,2.04,6.52,2.60,1.51,12.92,2.75,15.63,11.92,128.56,26.74,10.97,6.30,0.06
Avanti Feeds Ltd.,512573,AVANTIFEED,INE871C01038,Consumer Staples,Aquaculture,2022-09-05,466.85,0.34,384.20,638.80,250.00,770.00,250.00,"1,000.00",0.93,"1,000.00","6,360.63","5,451.96",0.09,-5.36,10.05,-16.72,13.76,-5.36,46.51,29.59,19.55,3.23,4.40,7.98,-5.69,1.34,13.50,1.22,-29.95,15.78,144.56,-15.59,-15.17,6.25,0.27
Endurance Technologies Ltd.,540153,ENDURANCE,INE913H01037,Automobile,Auto Ancillaries,2022-09-05,"1,529.55",0.72,"1,047.20","1,989.00",562.00,"1,989.00",562.00,"1,989.00",518.25,"1,989.00","21,492.58","20,844.15",4.99,4.10,18.87,-5.12,18.89,9.20,,45.97,38.84,5.34,6.08,3.06,7.24,0.41,20.99,2.70,28.98,33.24,286.03,52.72,19.45,6.25,0.23
Tata Consumer Products Ltd.,500800,TATACONSUM,INE192A01025,Consumer Staples,Food Processing,2022-09-05,837.45,0.45,657.50,889.00,213.70,889.00,177.05,889.00,11.65,889.00,"77,175.35","74,982.54",4.43,6.11,11.08,-3.72,46.38,34.07,20.33,76.76,69.61,5.02,3.06,2.37,4.19,0.72,38.97,6.06,50.91,10.92,167.07,16.45,11.78,6.05,0.06
Eris Lifesciences Ltd.,540596,ERIS,INE406M01024,Healthcare,Drugs & Pharma,2022-09-05,699.00,1.08,600.30,863.15,321.00,863.15,321.00,896.00,321.00,896.00,"9,499.73","9,323.52",1.04,-0.21,5.61,-8.68,21.48,3.94,,24.11,24.55,4.75,5.71,4.90,2.67,0.86,18.26,6.91,25.11,28.98,147.10,27.83,23.51,6.01,0.19
Balaji Amines Ltd.,530999,BALAMINES,INE050E01027,Chemicals,Organic Chemicals,2022-09-05,"3,436.30",0.21,"2,696.65","5,223.55",200.00,"5,223.55",200.00,"5,223.55",1.56,"5,223.55","11,090.86","11,144.65",-2.71,-5.57,7.35,-15.16,140.41,58.67,54.55,27.66,20.95,7.93,4.22,6.10,0.72,0.17,15.64,4.37,47.72,123.76,431.43,71.73,-0.98,6.00,0.34
BASF India Ltd.,500042,BASF,INE373A01013,Chemicals,Pesticides,2022-09-05,"3,179.75",-0.95,"2,351.00","3,740.00",795.00,"3,930.00",795.00,"3,930.00",63.50,"3,930.00","13,796.00","13,759.16",-5.45,9.13,17.87,-12.19,46.07,16.30,17.52,23.21,35.23,5.46,4.93,5.90,0.25,0.19,14.39,0.99,41.81,137.30,584.10,76.21,68.53,6.00,0.15
GMM Pfaudler Ltd.,505255,GMMPFAUDLR,INE541A01023,Capital Goods,Chemical Machinery,2022-09-05,"1,899.55",4.04,"1,335.25","5,295.00","1,316.20","6,913.85",552.00,"6,913.85",35.65,"6,913.85","8,330.00","8,187.00",12.85,18.36,-54.19,-56.53,10.43,,,65.63,60.03,14.03,11.85,3.44,3.39,0.11,21.56,3.05,35.24,28.95,135.44,161.91,-4.96,6.00,0.64
Hatsun Agro Products Ltd.,531531,HATSUN,INE473B01035,Consumer Staples,Dairy products,2022-09-05,987.80,-1.75,837.60,"1,533.65",281.29,"1,533.65",281.29,"1,533.65",1.55,"1,533.65","21,255.62","23,307.92",-2.31,-2.16,10.06,-6.63,30.25,16.25,,98.04,93.26,18.31,14.48,1.77,11.86,0.61,32.40,3.10,36.88,10.06,53.85,26.74,-1.91,6.00,0.36
MOIL Ltd.,533286,MOIL,INE490G01020,Metals & Mining,Minerals,2022-09-05,168.20,-0.80,137.30,198.95,85.55,208.00,85.55,285.85,85.55,295.53,"3,418.55","2,385.34",1.94,3.03,4.90,-0.68,11.79,-2.28,3.42,8.18,10.76,1.52,1.37,27.52,2.53,3.57,3.51,2.25,9.49,20.54,110.29,17.71,9.71,6.00,0.15
PI Industries Ltd.,523642,PIIND,INE603J01030,Chemicals,Pesticides,2022-09-05,"3,327.80",-1.01,"2,333.55","3,534.90",970.10,"3,534.90",675.60,"3,534.90",0.42,"3,534.90","50,488.76","49,030.25",-1.44,5.97,23.83,-2.78,41.26,36.23,41.36,55.08,45.17,7.93,6.86,2.53,4.29,0.18,36.67,8.94,95.50,60.57,420.66,34.78,11.66,6.00,0.06
TTK Prestige Ltd.,517506,TTKPRESTIG,INE690A01028,Consumer Discretionary,Kitchenware & Appliances,2022-09-05,983.30,2.81,744.70,"1,269.60",390.11,"1,269.60",390.11,"1,269.60",0.00,"1,269.60","13,629.92","12,551.32",7.33,10.83,17.42,12.62,20.95,13.24,13.45,41.90,44.81,7.70,7.12,3.74,9.41,0.61,25.34,4.62,46.33,23.63,128.52,21.23,16.37,6.00,0.23
Vaibhav Global Ltd.,532156,VAIBHAVGBL,INE884A01027,Consumer Discretionary,"Gems, Jewellery & Accessories",2022-09-05,357.25,4.49,287.90,805.00,98.00,"1,057.70",98.00,"1,057.70",1.50,"1,057.70","5,898.66","5,549.24",15.60,17.25,5.63,-53.22,29.16,27.10,43.25,37.20,22.45,5.20,4.56,3.53,2.05,1.68,22.26,2.19,67.07,9.63,68.91,5.37,-10.77,6.00,0.56
Wipro Ltd.,507685,WIPRO,INE075A01022,Technology,Software,2022-09-05,405.50,-0.54,391.00,739.85,159.40,739.85,159.40,739.85,28.47,739.85,"222,410.91","204,292.93",-2.82,-6.89,-14.72,-38.10,16.56,12.71,11.53,19.26,18.95,3.30,3.02,8.49,3.10,1.48,11.16,2.70,20.07,21.06,122.95,20.21,17.61,6.00,0.45
Castrol India Ltd.,500870,CASTROLIND,INE172A01027,Chemicals,Lubricants & Grease,2022-09-05,113.55,-0.39,99.05,149.60,89.55,162.20,89.55,214.48,19.32,272.00,"11,231.48","9,975.79",-0.92,-1.30,4.94,-16.54,-1.88,-10.62,-2.21,13.88,18.38,6.26,9.22,11.58,2.36,4.84,8.45,2.42,17.82,8.18,18.14,6.37,5.81,5.50,0.24
Finolex Cables Ltd.,500144,FINCABLES,INE235A01022,Capital Goods,Wires & cables,2022-09-05,462.20,0.80,343.50,608.65,162.40,608.65,162.40,757.90,15.20,757.90,"7,068.86","6,446.83",3.50,8.60,16.69,-2.33,8.22,-3.29,29.08,11.26,16.39,1.77,2.20,8.99,-6.43,1.30,11.71,1.72,61.81,41.31,262.52,7.48,4.33,5.50,0.24
JK Paper Ltd.,532162,JKPAPER,INE789E01012,Consumer Staples,Paper,2022-09-05,420.30,-0.50,192.00,449.95,62.00,449.95,62.00,449.95,13.40,449.95,"7,120.83","9,598.79",1.35,7.82,24.55,71.97,60.37,32.92,28.27,10.16,8.19,2.18,1.29,13.24,0.40,1.31,7.08,1.50,9.20,41.36,192.46,45.67,-13.56,5.50,0.07
Voltas Ltd.,500575,VOLTAS,INE226A01021,Consumer Discretionary,ACs & Refrigerators,2022-09-05,987.25,1.62,922.55,"1,356.90",427.45,"1,356.90",427.45,"1,356.90",2.60,"1,356.90","32,666.60","31,511.92",-1.98,-1.29,-2.96,-9.34,16.67,13.71,24.57,66.50,45.66,5.79,5.55,3.02,51.58,0.56,36.48,3.71,55.91,14.84,170.45,17.66,13.64,5.50,0.27
Natco Pharma Ltd.,524816,NATCOPHARM,INE987B01026,Healthcare,Drugs & Pharma,2022-09-05,616.50,1.26,607.00,993.45,402.55,"1,189.00",402.55,"1,189.00",1.60,"1,189.00","11,254.65","10,961.18",-1.26,-17.85,-11.90,-37.57,4.34,-2.61,24.38,27.08,26.58,2.45,3.74,5.71,-5.64,0.85,16.48,4.65,37.67,22.75,251.10,16.37,5.16,5.25,0.38
ABB India Ltd.,500002,ABB,INE117A01022,Capital Goods,Switching Equipment,2022-09-05,"3,289.20",-2.37,"1,790.00","3,446.30",722.00,"3,446.30",722.00,"3,446.30",29.27,"3,446.30","69,715.74","68,657.57",3.74,23.27,42.04,77.92,35.59,20.07,16.36,83.92,77.79,15.63,7.59,1.40,11.50,0.16,77.31,8.91,107.38,39.20,210.45,30.64,26.64,5.20,0.05
Dabur India Ltd.,500096,DABUR,INE016A01026,Consumer Staples,Household & Personal Products,2022-09-05,570.10,-0.11,482.25,658.95,385.05,658.95,298.70,658.95,5.17,658.95,"101,008.24","100,575.21",-0.33,-0.66,10.93,-11.10,8.84,12.90,16.12,58.07,54.49,11.66,12.75,2.79,8.40,0.91,37.89,9.10,56.04,9.83,48.96,10.19,8.63,5.20,0.13
Tata Steel Ltd.,500470,TATASTEEL,INE081A01012,Metals & Mining,Finished Steel,2022-09-05,106.90,1.33,82.70,147.67,25.09,153.46,25.09,153.46,3.71,153.46,"130,667.91","173,423.08",-0.42,-0.74,0.16,-25.95,46.61,11.66,11.92,3.35,6.01,1.08,1.11,31.48,0.01,0.48,2.74,0.52,2.94,31.92,99.07,363.48,246.20,5.10,0.28
Adani Ports and Special Economic Zone Ltd.,532921,ADANIPORTS,INE742F01042,Services,Marine Port Services,2022-09-05,850.90,-0.12,651.95,924.65,203.00,924.65,203.00,924.65,50.00,924.65,"179,530.60","215,091.54",1.58,5.41,15.00,12.72,32.67,17.20,21.99,39.72,21.91,4.58,3.63,4.69,16.81,0.59,20.42,11.35,18.32,21.40,185.74,46.39,20.20,5.00,0.08
CCL Products (India) Ltd.,519600,CCL,INE421D01022,Consumer Staples,Tea & Coffee,2022-09-05,499.40,2.34,310.00,514.95,137.00,514.95,137.00,514.95,0.34,514.95,"6,643.41","7,080.26",4.60,13.94,38.47,23.40,28.85,12.04,34.59,31.00,21.88,5.10,4.20,4.08,2.60,1.00,20.12,4.04,65.94,16.03,97.47,7.57,-10.09,5.00,0.03
Cipla Ltd.,500087,CIPLA,INE059A01026,Healthcare,Drugs & Pharma,2022-09-05,"1,025.65",0.99,850.00,"1,083.15",355.30,"1,083.15",355.30,"1,083.15",44.89,"1,083.15","82,769.54","78,655.16",0.48,-1.80,6.73,8.98,29.58,12.80,10.45,33.20,31.30,3.84,3.57,4.96,1.86,0.49,16.84,3.86,24.89,30.84,266.47,41.22,33.87,5.00,0.05
Container Corporation Of India Ltd.,531344,CONCOR,INE111A01025,Services,Logistics,2022-09-05,669.15,-0.77,554.00,754.40,263.20,754.40,263.20,754.40,11.31,754.40,"40,792.26","38,597.88",-6.10,-1.52,4.13,-7.99,9.99,4.91,12.97,37.32,38.72,3.69,3.34,4.55,-2.91,1.35,18.86,5.21,39.64,17.94,181.35,16.89,9.67,5.00,0.11
HLE Glascoat Ltd.,522215,HLEGLAS,INE461D01010,Capital Goods,Chemical Machinery,2022-09-05,"3,889.55",-1.46,"3,000.00","7,550.00",180.00,"7,549.00",145.20,"7,549.00",7.87,"7,550.00","5,310.44","5,554.81",11.75,11.29,12.43,-19.07,,,,89.43,47.47,19.85,12.42,2.19,1.09,0.13,44.65,7.25,515.58,43.54,196.13,7.54,-52.86,5.00,0.48
ICICI Bank Ltd.,532174,ICICIBANK,INE090A01021,Financial,Banking,2022-09-05,882.45,1.15,643.00,890.75,268.30,890.75,255.00,890.75,11.82,890.75,"614,335.12","585,848.54",1.33,7.58,18.56,21.83,30.45,24.32,18.19,22.15,25.30,3.30,2.47,17.65,1.41,0.57,13.04,6.21,10.57,39.83,267.24,83.63,61.77,5.00,0.01
JK Lakshmi Cement Ltd.,500380,JKLAKSHMI,INE786A01032,Materials,Cement,2022-09-05,468.05,-0.57,366.25,747.60,179.75,816.00,179.75,816.00,4.33,816.00,"5,507.55","6,183.04",-2.81,2.02,10.04,-33.88,13.27,1.71,17.33,12.41,17.09,2.10,2.46,13.66,0.31,1.07,6.14,0.96,8.10,37.68,222.51,57.78,14.59,5.00,0.37
Jubilant Pharmova Ltd.,530019,JUBLPHARMA,INE700A01033,Healthcare,Drugs & Pharma,2022-09-05,328.30,-1.22,281.80,655.50,230.00,"1,046.95",230.00,"1,046.95",3.46,"1,046.95","5,256.28","7,207.16",-2.60,-7.35,-16.39,-49.21,-9.57,-13.89,6.22,17.50,14.23,0.98,2.02,8.69,-1.51,1.53,7.26,0.89,2.95,18.86,336.86,112.10,46.28,5.00,0.50
PCBL Ltd.,506590,PCBL,INE602A01031,Chemicals,Carbon Black,2022-09-05,144.45,1.80,89.00,147.00,27.05,147.00,27.05,159.49,0.00,159.49,"5,452.45","5,549.21",14.64,17.92,35.44,19.04,37.93,15.20,32.12,12.16,9.89,1.99,1.66,11.13,0.28,1.73,7.69,1.12,18.77,11.86,72.60,15.39,-1.24,5.00,0.02
Route Mobile Ltd.,543228,ROUTE,INE450U01017,Technology,Software,2022-09-05,"1,444.20",0.51,"1,052.00","2,389.00",,,,,625.00,"2,389.00","8,969.68","7,898.46",-7.72,-0.11,2.85,-27.69,,,,44.02,63.86,5.20,6.13,3.41,0.90,0.35,27.40,3.81,66.66,32.82,277.64,21.40,19.96,5.00,0.40
Sudarshan Chemical Industries Ltd.,506655,SUDARSCHEM,INE659A01023,Chemicals,Dyes & Pigments,2022-09-05,462.85,-0.60,402.00,714.90,286.25,794.00,286.25,794.00,0.00,794.00,"3,204.18","4,005.63",2.04,-3.04,0.54,-30.03,13.69,4.35,25.76,28.91,26.69,3.82,4.93,4.31,5.67,1.08,15.44,1.42,17.99,16.02,121.05,25.73,-21.85,5.00,0.35
Sun TV Network Ltd.,532733,SUNTV,INE424H01027,Services,Media & Entertainment,2022-09-05,510.60,-1.55,402.55,612.00,259.55,612.00,259.55,"1,097.80",122.15,"1,849.00","20,155.46","16,951.85",0.70,8.58,18.37,4.08,5.94,-8.76,5.63,11.38,14.07,2.33,3.05,16.00,1.00,2.69,5.90,5.06,13.77,44.93,219.57,37.16,39.60,5.00,0.17
Suven Pharmaceuticals Ltd.,543064,SUVENPHAR,INE03QK01018,Healthcare,Drugs & Pharma,2022-09-05,493.25,0.41,425.70,631.75,,,,,87.05,631.75,"12,600.97","12,058.55",10.46,5.44,0.35,-5.90,,,,27.62,31.32,7.71,9.21,6.32,0.66,1.01,16.90,9.03,38.18,17.92,64.22,12.96,7.14,5.00,0.22
Welspun Corp Ltd.,532144,WELCORP,INE191B01025,Metals & Mining,Steel Tubes & Pipes,2022-09-05,254.10,5.30,116.55,255.50,55.00,255.50,55.00,255.50,4.36,539.00,"6,649.00","6,144.96",11.03,15.13,13.01,116.81,27.79,12.81,10.46,17.12,12.46,1.51,1.15,20.07,0.84,1.97,6.47,1.15,30.43,14.85,168.79,8.37,-15.32,5.00,0.01
Whirlpool Of India Ltd.,500238,WHIRLPOOL,INE716A01013,Consumer Discretionary,ACs & Refrigerators,2022-09-05,"1,790.95",-0.14,"1,365.10","2,550.00","1,343.00","2,787.00","1,172.65","2,787.00",10.10,"2,787.00","22,722.11","21,148.77",-1.41,0.08,9.53,-17.99,3.27,8.67,21.35,36.27,55.49,6.70,10.04,2.34,-5.65,0.28,36.91,3.28,232.40,49.23,266.58,7.71,23.67,5.00,0.30
Zensar Technologies Ltd.,504067,ZENSARTECH,INE520A01027,Technology,Software,2022-09-05,230.75,0.20,221.75,587.00,63.70,587.00,63.70,587.00,3.35,587.00,"5,223.34","4,193.65",-0.92,-6.47,-25.13,-47.95,1.57,8.01,16.33,13.39,18.55,1.91,2.62,16.89,1.01,2.17,5.51,1.16,15.61,17.25,121.02,14.81,13.58,5.00,0.61
Zydus Wellness Ltd.,531335,ZYDUSWELL,INE768C01010,Consumer Staples,Food Processing,2022-09-05,"1,634.00",0.64,"1,430.00","2,476.85","1,070.00","2,476.85",863.00,"2,476.85",2.92,"2,476.85","10,518.39","10,523.95",1.76,1.40,4.62,-28.99,-0.69,13.58,15.28,33.38,46.83,2.11,2.69,3.25,1.49,0.31,29.04,5.02,44.41,49.52,782.79,37.22,23.69,5.00,0.34
"Shyam Metalics and Energy Ltd,",543299,SHYAMMETL,INE810G01011,Metals & Mining,Other Metal Products,2022-09-05,298.85,1.32,273.10,417.75,,,,,273.00,461.15,"7,601.40","7,052.09",-0.75,-0.68,-2.73,-24.36,,,,4.52,5.46,1.22,1.55,33.15,0.12,1.66,2.72,0.68,4.50,65.92,244.96,66.24,23.55,4.95,0.28
Amara Raja Batteries Ltd.,500008,AMARAJABAT,INE885A01032,Capital Goods,Storage Batteries,2022-09-05,539.50,5.77,438.05,781.60,348.55,"1,025.55",348.55,"1,025.55",3.07,"1,132.00","9,215.33","8,646.83",4.37,6.76,7.71,-25.24,-4.67,-7.29,11.18,17.71,21.90,1.97,3.37,8.70,13.28,0.83,7.76,0.98,14.55,30.47,274.25,37.08,-5.52,4.50,0.31
Bharat Electronics Ltd.,500049,BEL,INE263A01024,Capital Goods,Electronic Equipment,2022-09-05,327.90,1.03,183.45,329.70,56.00,329.70,56.00,329.70,1.27,329.70,"79,895.88","71,515.88",7.38,15.40,35.36,65.11,45.48,13.48,24.18,29.15,17.28,6.32,3.05,5.43,3.08,1.37,17.61,4.81,18.99,11.25,51.88,17.27,15.33,4.50,0.01
Birlasoft Ltd.,532400,BSOFT,INE836A01035,Technology,Software,2022-09-05,322.50,0.48,306.15,585.85,46.70,585.85,46.70,585.85,0.65,585.85,"9,027.37","7,813.68",0.26,-7.90,-15.45,-22.23,71.04,22.43,9.49,19.18,19.53,3.34,2.61,8.93,1.32,1.40,10.87,2.08,32.16,16.81,96.57,10.04,7.87,4.50,0.45
CESC Ltd.,500084,CESC,INE486A01021,Energy,Electricity Generation,2022-09-05,81.25,1.56,68.00,102.45,36.53,102.45,36.53,119.00,0.90,119.00,"10,770.26","21,742.21",1.63,1.69,2.52,-2.04,2.52,-4.74,10.38,7.83,8.47,1.01,0.96,15.00,0.60,5.55,5.61,0.80,4.31,10.37,80.67,18.85,4.30,4.50,0.21
EPL Ltd.,500135,EPL,INE255A01020,Materials,Packaging & Containers,2022-09-05,171.50,0.88,147.15,259.20,100.95,318.75,78.75,318.75,4.75,318.75,"5,417.18","5,831.14",3.31,3.41,1.03,-28.45,17.79,5.38,26.99,28.61,25.82,2.95,3.43,5.51,19.29,2.53,10.27,1.56,17.38,6.01,58.22,9.86,-0.53,4.30,0.34
Praj Industries Ltd.,522205,PRAJIND,INE074A01025,Capital Goods,Industrial Machinery,2022-09-05,414.40,-1.77,289.05,448.25,43.00,448.25,43.00,448.25,0.15,448.25,"7,611.41","7,208.15",6.27,6.61,24.11,22.46,56.03,43.93,24.82,44.94,42.18,7.97,2.94,3.84,1.37,1.01,28.20,2.84,43.56,9.22,51.94,9.51,8.91,4.20,0.08
Bajaj Finserv Ltd.,532978,BAJAJFINSV,INE918I01018,Financial,Misc. Fin.services,2022-09-05,"17,376.10",0.27,"10,727.20","19,325.00","3,985.30","19,325.00","3,985.30","19,325.00",86.60,"19,325.00","276,760.96","424,736.21",6.69,14.43,36.91,3.83,35.25,26.44,36.18,54.99,38.25,6.52,4.72,5.54,2.52,0.02,18.03,7.75,-8.22,316.01,"2,664.96","-2,115.75","-2,183.61",4.00,0.10
